name,filename,nworkers,avg,std
bin/threads_pinned,videos/test_big.mp4,1,70411840,755375
bin/threads_pinned,videos/test_big.mp4,2,69713716,302865
bin/threads_pinned,videos/test_big.mp4,3,59421939,2966020
bin/threads_pinned,videos/test_big.mp4,4,33176823,682194
bin/threads_pinned,videos/test_big.mp4,5,31315514,438278
bin/threads_pinned,videos/test_big.mp4,6,22106372,293469
bin/threads_pinned,videos/test_big.mp4,7,21637768,364401
bin/threads_pinned,videos/test_big.mp4,8,17749153,468226
bin/threads_pinned,videos/test_big.mp4,9,16169273,595574
bin/threads_pinned,videos/test_big.mp4,10,13477469,138222
bin/threads_pinned,videos/test_big.mp4,11,14374600,960310
bin/threads_pinned,videos/test_big.mp4,12,11343372,181723
bin/threads_pinned,videos/test_big.mp4,13,11135434,265013
bin/threads_pinned,videos/test_big.mp4,14,9824239,125429
bin/threads_pinned,videos/test_big.mp4,15,9685790,122752
bin/threads_pinned,videos/test_big.mp4,16,8762905,195882
bin/threads_pinned,videos/test_big.mp4,17,8714236,146902
bin/threads_pinned,videos/test_big.mp4,18,7733866,77616
bin/threads_pinned,videos/test_big.mp4,19,7691175,145518
bin/threads_pinned,videos/test_big.mp4,20,7523657,97427
bin/threads_pinned,videos/test_big.mp4,21,7512678,245570
bin/threads_pinned,videos/test_big.mp4,22,7975567,139345
bin/threads_pinned,videos/test_big.mp4,23,7645299,260646
bin/threads_pinned,videos/test_big.mp4,24,7542147,229702
bin/threads_pinned,videos/test_big.mp4,25,7663490,138825
bin/threads_pinned,videos/test_big.mp4,26,7902312,46964
bin/threads_pinned,videos/test_big.mp4,27,8079617,160047
bin/threads_pinned,videos/test_big.mp4,28,8009321,121840
bin/threads_pinned,videos/test_big.mp4,29,8147048,125633
bin/threads_pinned,videos/test_big.mp4,30,7796127,216948
bin/threads_pinned,videos/test_big.mp4,31,8114840,135706
bin/threads_pinned,videos/test_big.mp4,32,7935126,74051
bin/threads_pinned,videos/test_big.mp4,33,8011421,83252
bin/threads_pinned,videos/test_big.mp4,34,7915592,61071
bin/threads_pinned,videos/test_big.mp4,35,7877876,145579
bin/threads_pinned,videos/test_mid.mp4,1,10774698,198140
bin/threads_pinned,videos/test_mid.mp4,2,10601919,32566
bin/threads_pinned,videos/test_mid.mp4,3,9564858,170434
